"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","57","calls openSAMLProviderDialog when create provider button is clicked","CreateMenu","Sat Jan 17 00:43:50 UTC 2026","passed","Sat Jan 17 00:43:50 UTC 2026","","oidc_support feature flag disabled","",""
"Test cases for TestResources_UpdateSavedQuery_UpdateFailed","0","TestResources_UpdateSavedQuery_UpdateFailed","","Sat Jan 17 00:41:52 UTC 2026","passed","Sat Jan 17 00:41:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_UpdateSavedQuery_UpdateFailed","TestResources_UpdateSavedQuery_UpdateFailed"
"","237","should display ""Disable Multi-Factor Authentication?"" title","Enable2FADialog","Sat Jan 17 00:45:45 UTC 2026","passed","Sat Jan 17 00:45:45 UTC 2026","","","",""
"","760","should display all available roles","CreateUserDialog","Sat Jan 17 00:43:19 UTC 2026","passed","Sat Jan 17 00:43:20 UTC 2026","","","",""
"","161","shows the direct object and expanded object list when results are present for both","Seed Selection Results","Sat Jan 17 00:43:59 UTC 2026","passed","Sat Jan 17 00:43:59 UTC 2026","","","",""
"Test cases for TestArgon2_Digest","2","TestArgon2_Digest","","Sat Jan 17 00:42:09 UTC 2026","passed","Sat Jan 17 00:42:09 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/crypto/TestArgon2_Digest","TestArgon2_Digest"
"","0","does not abbreviate numbers < 1000","numberFormatting","Sat Jan 17 00:46:51 UTC 2026","passed","Sat Jan 17 00:46:51 UTC 2026","","","",""
"Test cases for TestResources_UpdateSavedQuery_InvalidBody","5","TestResources_UpdateSavedQuery_InvalidBody","","Sat Jan 17 00:41:52 UTC 2026","passed","Sat Jan 17 00:41:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_UpdateSavedQuery_InvalidBody","TestResources_UpdateSavedQuery_InvalidBody"
"","81","Calls the `Base` endpoint for a LocalUser type node","EntityObjectInformation","Sat Jan 17 00:44:54 UTC 2026","passed","Sat Jan 17 00:44:54 UTC 2026","","","",""
"Test cases for TestGenerateQRCodeBase64","9","TestGenerateQRCodeBase64","","Sat Jan 17 00:41:53 UTC 2026","passed","Sat Jan 17 00:41:53 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/auth/TestGenerateQRCodeBase64","TestGenerateQRCodeBase64"
"","59","populates the node search field when the 'primarySearch' query param is set","useNodeSearch","Sat Jan 17 00:46:09 UTC 2026","passed","Sat Jan 17 00:46:09 UTC 2026","","","",""
"Test cases for TestTimeFrom","0","TestTimeFrom","","Sat Jan 17 00:41:58 UTC 2026","passed","Sat Jan 17 00:41:58 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestTimeFrom","TestTimeFrom"
"Test cases for TestDomainSelectors_GetValidFilterPredicatesAsStrings","0","TestDomainSelectors_GetValidFilterPredicatesAsStrings","","Sat Jan 17 00:41:59 UTC 2026","passed","Sat Jan 17 00:41:59 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestDomainSelectors_GetValidFilterPredicatesAsStrings","TestDomainSelectors_GetValidFilterPredicatesAsStrings"
"","64","returns the full environment for the environmentid passed","useAvailableEnvironments","Sat Jan 17 00:46:08 UTC 2026","passed","Sat Jan 17 00:46:08 UTC 2026","","useSelectedEnvironment","",""
"","1","should compute offset vertices for bezier curves at a given intersection","bezier","Sat Jan 17 00:47:55 UTC 2026","passed","Sat Jan 17 00:47:55 UTC 2026","","","",""
"","430","changes the text from ""Disabled"" to ""Enabled"" when the Rule Status switch is toggled","Rule Form","Sat Jan 17 00:43:05 UTC 2026","passed","Sat Jan 17 00:43:06 UTC 2026","","","",""
"Test cases for TestSetValuesFromEnv","4","TestSetValuesFromEnv","","Sat Jan 17 00:41:54 UTC 2026","passed","Sat Jan 17 00:41:54 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/config/TestSetValuesFromEnv","TestSetValuesFromEnv"
"Test cases for TestResources_ListAssetGroups","0","TestResources_ListAssetGroups","","Sat Jan 17 00:41:52 UTC 2026","passed","Sat Jan 17 00:41:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListAssetGroups","TestResources_ListAssetGroups"
"Test cases for TestManagementResource_UpdateUser_DuplicateEmailError","0","TestManagementResource_UpdateUser_DuplicateEmailError","","Sat Jan 17 00:42:10 UTC 2026","passed","Sat Jan 17 00:42:10 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_UpdateUser_DuplicateEmailError","TestManagementResource_UpdateUser_DuplicateEmailError"
"Test cases for Test_FixtureSetup","1","Test_FixtureSetup","","Sat Jan 17 00:42:10 UTC 2026","passed","Sat Jan 17 00:42:10 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/lab/Test_FixtureSetup","Test_FixtureSetup"
"Test cases for TestResources_GetContainerEntityInfo","218","TestResources_GetContainerEntityInfo","","Sat Jan 17 00:41:52 UTC 2026","passed","Sat Jan 17 00:41:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetContainerEntityInfo","TestResources_GetContainerEntityInfo"
"Test cases for TestTextUnmarshalBool","0","TestTextUnmarshalBool","","Sat Jan 17 00:41:58 UTC 2026","passed","Sat Jan 17 00:41:58 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestTextUnmarshalBool","TestTextUnmarshalBool"
"Test cases for TestResources_GetFlags","0","TestResources_GetFlags","","Sat Jan 17 00:41:52 UTC 2026","passed","Sat Jan 17 00:41:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetFlags","TestResources_GetFlags"
"","193","handles chevron click event","CommonSearches","Sat Jan 17 00:43:44 UTC 2026","passed","Sat Jan 17 00:43:44 UTC 2026","","","",""
"","850","disables the confirm button until user types required text","Tag Form","Sat Jan 17 00:42:52 UTC 2026","passed","Sat Jan 17 00:42:53 UTC 2026","","","",""
"","281","renders a snackbar notification in the dom and tests autoHideDuration","AppNotifications","Sat Jan 17 00:45:50 UTC 2026","passed","Sat Jan 17 00:45:50 UTC 2026","","","",""
"Test cases for TestDefineNodeName","0","TestDefineNodeName","","Sat Jan 17 00:42:08 UTC 2026","passed","Sat Jan 17 00:42:08 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/ad/wellknown/TestDefineNodeName","TestDefineNodeName"
"","363","does not render an edit form for the selected asset group when a user does not have graph write permissions","GroupManagement","Sat Jan 17 00:47:51 UTC 2026","passed","Sat Jan 17 00:47:51 UTC 2026","","","",""
"Test cases for TestParseHeaderValues","0","TestParseHeaderValues","","Sat Jan 17 00:41:45 UTC 2026","passed","Sat Jan 17 00:41:45 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/middleware/TestParseHeaderValues","TestParseHeaderValues"
"","39","sets input text to value","ManagedDatePicker - value","Sat Jan 17 00:44:50 UTC 2026","passed","Sat Jan 17 00:44:50 UTC 2026","","","",""
"","9","optionally allows the consumer to pass a query to performSearch() and adds that query to the url","useCypherSearch","Sat Jan 17 00:46:38 UTC 2026","passed","Sat Jan 17 00:46:38 UTC 2026","","","",""
"","222","renders the form for editing an existing zone","Tag Form","Sat Jan 17 00:42:49 UTC 2026","passed","Sat Jan 17 00:42:49 UTC 2026","","","",""
"","1861","should add an option and display the changelog when it is clicked","AssetGroupEdit","Sat Jan 17 00:45:26 UTC 2026","passed","Sat Jan 17 00:45:28 UTC 2026","","","",""
"","290","should not call onSubmit when input is invalid and Submit button is clicked","UpsertSAMLProviderForm","Sat Jan 17 00:45:54 UTC 2026","passed","Sat Jan 17 00:45:55 UTC 2026","","","",""
"Test cases for TestIntFromPtr","0","TestIntFromPtr","","Sat Jan 17 00:41:58 UTC 2026","passed","Sat Jan 17 00:41:58 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestIntFromPtr","TestIntFromPtr"
"Test cases for TestResources_GetDatabaseCompleteness","110","TestResources_GetDatabaseCompleteness","","Sat Jan 17 00:41:52 UTC 2026","passed","Sat Jan 17 00:41:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetDatabaseCompleteness","TestResources_GetDatabaseCompleteness"
"Test cases for TestArgon2_ParseDigest","0","TestArgon2_ParseDigest","","Sat Jan 17 00:42:09 UTC 2026","passed","Sat Jan 17 00:42:09 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/crypto/TestArgon2_ParseDigest","TestArgon2_ParseDigest"
"","65","sets primarySearch, searchType, exploreSearchTab in URL params when the click handler is executed","useEdgeInfoItems","Sat Jan 17 00:45:20 UTC 2026","passed","Sat Jan 17 00:45:20 UTC 2026","","","",""
"Test cases for TestDomainSelectors_GetFilterCriteria_InvalidFilterColumn","0","TestDomainSelectors_GetFilterCriteria_InvalidFilterColumn","","Sat Jan 17 00:41:59 UTC 2026","passed","Sat Jan 17 00:41:59 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestDomainSelectors_GetFilterCriteria_InvalidFilterColumn","TestDomainSelectors_GetFilterCriteria_InvalidFilterColumn"
"","469","toggles sort order when clicking sortable header","RulesAccordion","Sat Jan 17 00:45:35 UTC 2026","passed","Sat Jan 17 00:45:35 UTC 2026","","","",""
"Test cases for TestDisenrollMFA_Failure","0","TestDisenrollMFA_Failure","","Sat Jan 17 00:42:21 UTC 2026","passed","Sat Jan 17 00:42:21 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestDisenrollMFA_Failure","TestDisenrollMFA_Failure"
"","18","renders an error fallback when flag is not found","FeatureFlag","Sat Jan 17 00:45:59 UTC 2026","passed","Sat Jan 17 00:45:59 UTC 2026","","","",""
"","643","calls the passed in cancel handler when clicking the Cancel button","Glyph Select Dialog","Sat Jan 17 00:46:40 UTC 2026","passed","Sat Jan 17 00:46:41 UTC 2026","","","",""
"Test cases for TestResources_CreateSavedQuery_DuplicateName","0","TestResources_CreateSavedQuery_DuplicateName","","Sat Jan 17 00:41:52 UTC 2026","passed","Sat Jan 17 00:41:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_CreateSavedQuery_DuplicateName","TestResources_CreateSavedQuery_DuplicateName"
"Test cases for TestMatches_FailureAction","0","TestMatches_FailureAction","","Sat Jan 17 00:41:59 UTC 2026","passed","Sat Jan 17 00:41:59 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestMatches_FailureAction","TestMatches_FailureAction"
"","100","returns an object with values for assetGroupTagId, params, and setPZQueryParams","usePZQueryParams","Sat Jan 17 00:45:10 UTC 2026","passed","Sat Jan 17 00:45:11 UTC 2026","","","",""
"","19","returns Rule Object counts when there is a Tag and a Rule selected (tagId and ruleId are in path params)","useObjectCounts","Sat Jan 17 00:46:38 UTC 2026","passed","Sat Jan 17 00:46:38 UTC 2026","","","",""
"","0","returns false if arrays have different length","areArraysSimilar","Sat Jan 17 00:46:43 UTC 2026","passed","Sat Jan 17 00:46:43 UTC 2026","","","",""
"","0","returns disabled config when any required param is falsey","useExploreGraph","Sat Jan 17 00:44:24 UTC 2026","passed","Sat Jan 17 00:44:24 UTC 2026","relationship search queries","exploreGraphQueryFactory","",""
"","171","fires onSelect prop when a result is clicked","SearchCurrentNodes","Sat Jan 17 00:45:11 UTC 2026","passed","Sat Jan 17 00:45:11 UTC 2026","","","",""
"","49","Error handling for fetching edge information","EdgeObjectInformation","Sat Jan 17 00:45:15 UTC 2026","passed","Sat Jan 17 00:45:15 UTC 2026","","","",""
"","7","does not render highlight for non-active tag","SelectedHighlight","Sat Jan 17 00:46:10 UTC 2026","passed","Sat Jan 17 00:46:10 UTC 2026","","","",""
"Test cases for TestResources_UpdateAssetGroupTagSelector","2","TestResources_UpdateAssetGroupTagSelector","","Sat Jan 17 00:41:52 UTC 2026","passed","Sat Jan 17 00:41:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_UpdateAssetGroupTagSelector","TestResources_UpdateAssetGroupTagSelector"
"","6","does not render when selector is default","Delete Selector Button rendering","Sat Jan 17 00:46:45 UTC 2026","passed","Sat Jan 17 00:46:45 UTC 2026","","","",""
"","83","Calls the `Base` endpoint for a LocalGroup type node","EntityObjectInformation","Sat Jan 17 00:44:54 UTC 2026","passed","Sat Jan 17 00:44:54 UTC 2026","","","",""
"","401","should call onSubmit with one time passcode when check code button clicked","OneTimePasscodeForm","Sat Jan 17 00:46:17 UTC 2026","passed","Sat Jan 17 00:46:17 UTC 2026","","","",""
"","204","should display ""Close"" button","UserTokenManagementDialog","Sat Jan 17 00:45:41 UTC 2026","passed","Sat Jan 17 00:45:41 UTC 2026","","","",""
"Test cases for TestIntScan","0","TestIntScan","","Sat Jan 17 00:41:58 UTC 2026","passed","Sat Jan 17 00:41:58 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestIntScan","TestIntScan"
"Test cases for TestParseOptionalLimitQueryParameter","88","TestParseOptionalLimitQueryParameter","","Sat Jan 17 00:41:52 UTC 2026","passed","Sat Jan 17 00:41:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestParseOptionalLimitQueryParameter","TestParseOptionalLimitQueryParameter"
"","9","should render a Field when the provided value is -0","Field","Sat Jan 17 00:46:34 UTC 2026","passed","Sat Jan 17 00:46:34 UTC 2026","","","",""
"","119","renders an input box","SearchBar","Sat Jan 17 00:46:53 UTC 2026","passed","Sat Jan 17 00:46:53 UTC 2026","","","",""
"Test cases for TestResources_ListADComputerConstrainedDelegationUsers","0","TestResources_ListADComputerConstrainedDelegationUsers","","Sat Jan 17 00:41:52 UTC 2026","passed","Sat Jan 17 00:41:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADComputerConstrainedDelegationUsers","TestResources_ListADComputerConstrainedDelegationUsers"
"","93","button displays ""Enabled"" when flag is enabled","EarlyAccessFeatureToggle","Sat Jan 17 00:48:07 UTC 2026","passed","Sat Jan 17 00:48:07 UTC 2026","","","",""
"Test cases for TestTypes_Scan_Success","0","TestTypes_Scan_Success","","Sat Jan 17 00:41:58 UTC 2026","passed","Sat Jan 17 00:41:58 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/TestTypes_Scan_Success","TestTypes_Scan_Success"
"Test cases for TestSignRequestValuesSuccess","0","TestSignRequestValuesSuccess","","Sat Jan 17 00:41:44 UTC 2026","passed","Sat Jan 17 00:41:44 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestSignRequestValuesSuccess","TestSignRequestValuesSuccess"
"","6","when password is expired and on password reset page, no redirect occurs","AuthenticatedRoute","Sat Jan 17 00:48:01 UTC 2026","passed","Sat Jan 17 00:48:01 UTC 2026","","","",""
"Test cases for TestPredefinedNodeNamePrefixes","1","TestPredefinedNodeNamePrefixes","","Sat Jan 17 00:42:08 UTC 2026","passed","Sat Jan 17 00:42:08 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/ad/wellknown/TestPredefinedNodeNamePrefixes","TestPredefinedNodeNamePrefixes"
"Test cases for TestManagementResource_ListAuthTokens_Admin","0","TestManagementResource_ListAuthTokens_Admin","","Sat Jan 17 00:42:19 UTC 2026","passed","Sat Jan 17 00:42:19 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListAuthTokens_Admin","TestManagementResource_ListAuthTokens_Admin"
"","11","should render when search string is in the middle of the text","HighlightedText","Sat Jan 17 00:46:19 UTC 2026","passed","Sat Jan 17 00:46:19 UTC 2026","","","",""
"Test cases for TestGetVersion","0","TestGetVersion","","Sat Jan 17 00:41:52 UTC 2026","passed","Sat Jan 17 00:41:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestGetVersion","TestGetVersion"
"","61","returns false on 404","useGraphHasData","Sat Jan 17 00:46:31 UTC 2026","passed","Sat Jan 17 00:46:32 UTC 2026","","","",""
"","27","should display an error message if data does not return from the API","Context Selector Error","Sat Jan 17 00:43:13 UTC 2026","passed","Sat Jan 17 00:43:13 UTC 2026","","","",""
"Test cases for TestResources_GetAZEntityInformation","125","TestResources_GetAZEntityInformation","","Sat Jan 17 00:41:52 UTC 2026","passed","Sat Jan 17 00:41:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetAZEntityInformation","TestResources_GetAZEntityInformation"
"","11","does not call onSort when disable=true","ColumnHeaders","Sat Jan 17 00:46:05 UTC 2026","passed","Sat Jan 17 00:46:05 UTC 2026","","SortableHeader","",""
"Test cases for TestHandleDatabaseErrorNotFound","0","TestHandleDatabaseErrorNotFound","","Sat Jan 17 00:41:44 UTC 2026","passed","Sat Jan 17 00:41:44 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestHandleDatabaseErrorNotFound","TestHandleDatabaseErrorNotFound"
"","1531","shows an error message when unable to delete a rule","Rule Form","Sat Jan 17 00:43:06 UTC 2026","passed","Sat Jan 17 00:43:07 UTC 2026","","","",""
"","299","calls openOIDCProviderDialog when OIDC Provider menu item is clicked","CreateMenu","Sat Jan 17 00:43:50 UTC 2026","passed","Sat Jan 17 00:43:50 UTC 2026","","oidc_support feature flag enabled","",""
"","857","should hide Environmental Targeted Access Control panel when showEnvironmentAccessControls prop is true and power user role is selected","CreateUserForm","Sat Jan 17 00:43:22 UTC 2026","passed","Sat Jan 17 00:43:23 UTC 2026","","","",""
"","745","should not call onSubmit when password does not match confirmation password when reset password button clicked","PasswordResetForm","Sat Jan 17 00:44:38 UTC 2026","passed","Sat Jan 17 00:44:39 UTC 2026","","","",""
"","926","should render","CypherSearch","Sat Jan 17 00:45:00 UTC 2026","passed","Sat Jan 17 00:45:01 UTC 2026","","","",""
"Test cases for TestManagementResource_SAMLCallbackHandler","13","TestManagementResource_SAMLCallbackHandler","","Sat Jan 17 00:42:29 UTC 2026","passed","Sat Jan 17 00:42:29 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_SAMLCallbackHandler","TestManagementResource_SAMLCallbackHandler"
"","172","does not make feature-flag request if user is not fully authenticated","app","Sat Jan 17 00:48:01 UTC 2026","passed","Sat Jan 17 00:48:01 UTC 2026","","<Inner />","",""
"","0","should compute the length of a line segment","bezier","Sat Jan 17 00:47:55 UTC 2026","passed","Sat Jan 17 00:47:55 UTC 2026","","","",""
"Test cases for TestResources_GetNTAuthStoreEntityInfo","225","TestResources_GetNTAuthStoreEntityInfo","","Sat Jan 17 00:41:52 UTC 2026","passed","Sat Jan 17 00:41:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetNTAuthStoreEntityInfo","TestResources_GetNTAuthStoreEntityInfo"
"Test cases for TestCache_Reset","0","TestCache_Reset","","Sat Jan 17 00:42:09 UTC 2026","passed","Sat Jan 17 00:42:09 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/cache/TestCache_Reset","TestCache_Reset"
"Test cases for TestTimeValueOrZero","0","TestTimeValueOrZero","","Sat Jan 17 00:41:58 UTC 2026","passed","Sat Jan 17 00:41:58 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestTimeValueOrZero","TestTimeValueOrZero"
"","197","should render action list item that handles a function","MainNav","Sat Jan 17 00:43:28 UTC 2026","passed","Sat Jan 17 00:43:28 UTC 2026","","","",""
"","26","should highlight main nav route when navigating to child route","Main Nav Route Highlighting","Sat Jan 17 00:43:28 UTC 2026","passed","Sat Jan 17 00:43:28 UTC 2026","","","",""
"","487","should display ""Configure Multi-Factor Authentication"" title","Enable2FADialog","Sat Jan 17 00:44:54 UTC 2026","passed","Sat Jan 17 00:44:54 UTC 2026","","","",""
"","1323","sets input text on date click","ManagedDatePicker - date validation","Sat Jan 17 00:44:47 UTC 2026","passed","Sat Jan 17 00:44:49 UTC 2026","","","",""
"","1583","should call the setCypherQuery handler when the value in the editor changes","CypherSearch","Sat Jan 17 00:45:01 UTC 2026","passed","Sat Jan 17 00:45:02 UTC 2026","","","",""
"","40","the queries in the list only include nodes and edges that are defined in our schema","common search list","Sat Jan 17 00:46:42 UTC 2026","passed","Sat Jan 17 00:46:42 UTC 2026","","","",""
"","284","handles creating a new label","Tag Form","Sat Jan 17 00:42:51 UTC 2026","passed","Sat Jan 17 00:42:52 UTC 2026","","","",""
"","1264","renders a table if the query has NO node edges","GraphView","Sat Jan 17 00:47:51 UTC 2026","passed","Sat Jan 17 00:47:53 UTC 2026","","","",""
"Test cases for TestGetPageParamsForGraphQuery","0","TestGetPageParamsForGraphQuery","","Sat Jan 17 00:42:06 UTC 2026","passed","Sat Jan 17 00:42:06 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/utils/TestGetPageParamsForGraphQuery","TestGetPageParamsForGraphQuery"
"","3596","The password reset dialog is opened when switching a user from SAML based authentication to username/password based authentication","Users","Sat Jan 17 00:44:06 UTC 2026","passed","Sat Jan 17 00:44:09 UTC 2026","","","",""
"","48","has no checked boxes by default","SourceKindsCheckboxes","Sat Jan 17 00:44:22 UTC 2026","passed","Sat Jan 17 00:44:22 UTC 2026","","","",""
"","0","returns true if both arrays are empty","areArraysSimilar","Sat Jan 17 00:46:43 UTC 2026","passed","Sat Jan 17 00:46:43 UTC 2026","","","",""
"Test cases for TestBHCEStaticHandler","20","TestBHCEStaticHandler","","Sat Jan 17 00:41:46 UTC 2026","passed","Sat Jan 17 00:41:46 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/static/TestBHCEStaticHandler","TestBHCEStaticHandler"
"","6","adds expected text alignment class depending on the textAlign prop","ColumnHeaders","Sat Jan 17 00:46:05 UTC 2026","passed","Sat Jan 17 00:46:05 UTC 2026","","BaseColumnHeader","",""
"Test cases for TestGetNodeKindDisplayLabel","0","TestGetNodeKindDisplayLabel","","Sat Jan 17 00:42:08 UTC 2026","passed","Sat Jan 17 00:42:08 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/TestGetNodeKindDisplayLabel","TestGetNodeKindDisplayLabel"
"","581","should fire Confirm once with true after typing challenge text","DeleteConfirmationDialog","Sat Jan 17 00:46:34 UTC 2026","passed","Sat Jan 17 00:46:34 UTC 2026","","","",""
"Test cases for TestBoolValueOrZero","0","TestBoolValueOrZero","","Sat Jan 17 00:41:58 UTC 2026","passed","Sat Jan 17 00:41:58 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestBoolValueOrZero","TestBoolValueOrZero"
"Test cases for TestFilter","0","TestFilter","","Sat Jan 17 00:42:11 UTC 2026","passed","Sat Jan 17 00:42:11 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/slicesext/TestFilter","TestFilter"
"","72","renders note header correctly","HistoryNotes Component","Sat Jan 17 00:46:47 UTC 2026","passed","Sat Jan 17 00:46:47 UTC 2026","","","",""
"","1","returns a function that can set arrays query params removes previous values set to that array query param","searchParams","Sat Jan 17 00:45:36 UTC 2026","passed","Sat Jan 17 00:45:36 UTC 2026","","setSingleParamFactory","",""
"","133","calls onCancel when cancel button clicked","EarlyAccessFeaturesWarningDialog","Sat Jan 17 00:48:14 UTC 2026","passed","Sat Jan 17 00:48:14 UTC 2026","","","",""
"","147","Searching for existing node type returns node properties","useFetchEntityProperties","Sat Jan 17 00:45:54 UTC 2026","passed","Sat Jan 17 00:45:54 UTC 2026","","","",""
"Test cases for TestResources_UpdateSavedQuery_OwnPublicQuery_Success","0","TestResources_UpdateSavedQuery_OwnPublicQuery_Success","","Sat Jan 17 00:41:52 UTC 2026","passed","Sat Jan 17 00:41:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_UpdateSavedQuery_OwnPublicQuery_Success","TestResources_UpdateSavedQuery_OwnPublicQuery_Success"
"Test cases for TestResources_ListAuditLogs_InvalidSkip","0","TestResources_ListAuditLogs_InvalidSkip","","Sat Jan 17 00:41:52 UTC 2026","passed","Sat Jan 17 00:41:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListAuditLogs_InvalidSkip","TestResources_ListAuditLogs_InvalidSkip"
"Test cases for TestResources_UpdateSavedQuery_AdminPrivateQuery_Success","0","TestResources_UpdateSavedQuery_AdminPrivateQuery_Success","","Sat Jan 17 00:41:52 UTC 2026","passed","Sat Jan 17 00:41:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_UpdateSavedQuery_AdminPrivateQuery_Success","TestResources_UpdateSavedQuery_AdminPrivateQuery_Success"
"Test cases for TestResources_GetAssetGroupSelectorMemberCountsByKind","3","TestResources_GetAssetGroupSelectorMemberCountsByKind","","Sat Jan 17 00:41:52 UTC 2026","passed","Sat Jan 17 00:41:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetAssetGroupSelectorMemberCountsByKind","TestResources_GetAssetGroupSelectorMemberCountsByKind"
"","15","shows date placeholder if no hint is given","ManagedDatePicker - placeholders","Sat Jan 17 00:44:49 UTC 2026","passed","Sat Jan 17 00:44:49 UTC 2026","","","",""
"","0","returns undefined if graphData is undefined or not a GraphResponse","getExploreTableData","Sat Jan 17 00:44:58 UTC 2026","passed","Sat Jan 17 00:44:58 UTC 2026","","","",""
"","168","should display","GenericErrorBoundaryFallback","Sat Jan 17 00:47:07 UTC 2026","passed","Sat Jan 17 00:47:07 UTC 2026","","","",""
"","1189","should display all available SSO providers","CreateUserDialog","Sat Jan 17 00:43:20 UTC 2026","passed","Sat Jan 17 00:43:21 UTC 2026","","","",""
"Test cases for TestDisenrollMFA_Success","754","TestDisenrollMFA_Success","","Sat Jan 17 00:42:21 UTC 2026","passed","Sat Jan 17 00:42:22 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestDisenrollMFA_Success","TestDisenrollMFA_Success"
"","1","should compute coordinates along a quadratic bezier curve for a given t value","bezier","Sat Jan 17 00:47:55 UTC 2026","passed","Sat Jan 17 00:47:55 UTC 2026","","","",""
"","348","displays 0 when a given sections returns empty, and sums the rest of the sections correctly","EntityInfoDataTableGraphed","Sat Jan 17 00:43:55 UTC 2026","passed","Sat Jan 17 00:43:56 UTC 2026","","Node count for nested table that counts all sections","",""
"","671","renders a link to the explore page when member is clicked","GroupManagement","Sat Jan 17 00:47:53 UTC 2026","passed","Sat Jan 17 00:47:54 UTC 2026","","","",""
"","2103","requires a password to disable MFA for a user when logged in without SSO","Users","Sat Jan 17 00:44:13 UTC 2026","passed","Sat Jan 17 00:44:15 UTC 2026","","","",""
"","283","renders analyze now section","AnalyzeNowConfiguration","Sat Jan 17 00:44:03 UTC 2026","passed","Sat Jan 17 00:44:03 UTC 2026","","","",""
"Test cases for Test_CheckAccessToEnvironments","93","Test_CheckAccessToEnvironments","","Sat Jan 17 00:41:52 UTC 2026","passed","Sat Jan 17 00:41:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/Test_CheckAccessToEnvironments","Test_CheckAccessToEnvironments"
