"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test cases for TestNewAuditLog_Error","0","TestNewAuditLog_Error","","Sat Jan 17 00:41:57 UTC 2026","passed","Sat Jan 17 00:41:57 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/TestNewAuditLog_Error","TestNewAuditLog_Error"
"Test cases for TestAssetGroupSelectorSpec_Validate","0","TestAssetGroupSelectorSpec_Validate","","Sat Jan 17 00:41:59 UTC 2026","passed","Sat Jan 17 00:41:59 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestAssetGroupSelectorSpec_Validate","TestAssetGroupSelectorSpec_Validate"
"Test cases for TestTimeSetValid","0","TestTimeSetValid","","Sat Jan 17 00:41:58 UTC 2026","passed","Sat Jan 17 00:41:58 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestTimeSetValid","TestTimeSetValid"
"Copyright 2021 The Go Authors. All rights reserved.TestConcat was ripped from go1.22 source and should be replaced with the stdlib implementation when we move to 1.22Original source: https:","1","TestConcat","","Sat Jan 17 00:42:11 UTC 2026","passed","Sat Jan 17 00:42:11 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/slicesext/TestConcat","TestConcat"
"","72","should render when search string is at the beginning of the text","HighlightedText","Sat Jan 17 00:46:19 UTC 2026","passed","Sat Jan 17 00:46:19 UTC 2026","","","",""
"","88","renders the analysis toggle when multi tier analysis enabled is true and when editing an existing zone","Tag Form","Sat Jan 17 00:42:50 UTC 2026","passed","Sat Jan 17 00:42:50 UTC 2026","","","",""
"Test cases for TestUnmarshalTimeText","0","TestUnmarshalTimeText","","Sat Jan 17 00:41:58 UTC 2026","passed","Sat Jan 17 00:41:58 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestUnmarshalTimeText","TestUnmarshalTimeText"
"Test cases for TestResources_ListADComputerSessions","1","TestResources_ListADComputerSessions","","Sat Jan 17 00:41:52 UTC 2026","passed","Sat Jan 17 00:41:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADComputerSessions","TestResources_ListADComputerSessions"
"Test cases for TestResources_EndIngestJob","116","TestResources_EndIngestJob","","Sat Jan 17 00:41:52 UTC 2026","passed","Sat Jan 17 00:41:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_EndIngestJob","TestResources_EndIngestJob"
"","179","opens when keyboard shortcut is pressed","GraphControls","Sat Jan 17 00:43:30 UTC 2026","passed","Sat Jan 17 00:43:30 UTC 2026","","Searching current results","",""
"Test cases for TestSignRequestSuccess","0","TestSignRequestSuccess","","Sat Jan 17 00:41:44 UTC 2026","passed","Sat Jan 17 00:41:44 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestSignRequestSuccess","TestSignRequestSuccess"
"","8","renders without label when label is empty string","StatusIndicator","Sat Jan 17 00:46:55 UTC 2026","passed","Sat Jan 17 00:46:55 UTC 2026","","","",""
"Test cases for TestCache_FillFifo","0","TestCache_FillFifo","","Sat Jan 17 00:42:09 UTC 2026","passed","Sat Jan 17 00:42:09 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/cache/TestCache_FillFifo","TestCache_FillFifo"
"Test cases for TestManagementResource_DeleteUser_UserBhCtxNotFound","0","TestManagementResource_DeleteUser_UserBhCtxNotFound","","Sat Jan 17 00:42:14 UTC 2026","passed","Sat Jan 17 00:42:14 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_DeleteUser_UserBhCtxNotFound","TestManagementResource_DeleteUser_UserBhCtxNotFound"
"","15","should recognize active directory properties","validating a node property against the shared generated schema","Sat Jan 17 00:44:01 UTC 2026","passed","Sat Jan 17 00:44:01 UTC 2026","","","",""
"","110","buttons are disabled while loading","OneTimePasscodeForm","Sat Jan 17 00:46:17 UTC 2026","passed","Sat Jan 17 00:46:17 UTC 2026","","","",""
